General Rank,US News Ranking,F1 Slots Ranking,Regional Ranking,University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
99,99,99,-,Auburn University,Auburn,Alabama,80% to 89%,Very Good,Private,National Universities
136,136,136,-,Samford University,Birmingham,Alabama,70% to 79%,Good,Private,National Universities
148,148,148,-,University of Alabama,Tuscaloosa,Alabama,70% to 79%,Good,Public,National Universities
148,148,148,-,University of Alabama  at Birmingham,Birmingham,Alabama,70% to 79%,Good,Public,National Universities
263,263,263,-,University of Alabama--Huntsville,Huntsville,Alabama,60% to 69%,Average,Public,National Universities
299-391,299-391,299-391,-,University of South Alabama,Mobile,Alabama,50% to 59%,Below Average,Public,National Universities
,,243,71,University of Alaska--Anchorage,Anchorage,Alaska,60% to 69%,Average,Public,Regional Universities
,,274,84,Alaska Pacific University,Anchorage,Alaska,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,University of Alaska--Fairbanks,Fairbanks,Alaska,50% to 59%,Below Average,Public,National Universities
,,,94-122,University of Alaska--Southeast,Juneau,Alaska,50% to 59%,Below Average,Public,Regional Universities
64,103,83,-,University of Arizona,Tucscon,Arizona,80% to 89%,Very Good,Public,National Universities
62,117,89,-,Arizona  State University,Tempe,Arizona,80% to 89%,Very Good,Public,National Universities
288,288,288,-,Northern  Arizona  University,Flagstaff,Arizona,60% to 69%,Average,Public,National Universities
299-391,299-391,299-391,-,University of Phoenix,Phoenix,Arizona,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Grand Canyon University,Phoenix,Arizona,50% to 59%,Below Average,Private,National Universities
,,,94-122,Prescott  College,Prescott,Arizona,50% to 59%,Below Average,Private,Regional Universities
,,55,11,John Brown University,Siloam  Springs,Arkansas,80% to 89%,Very Good,Private,Regional Universities
299-391,299-391,175,-,University of Arkansas  at Little Rock,Little Rock,Arkansas,70% to 79%,Good,Public,National Universities
162,162,162,-,University of Arkansas,Fayetteville,Arkansas,70% to 79%,Good,Public,National Universities
249,249,249,-,Harding  University,Searcy,Arkansas,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,University of Central  Arkansas,Conway,Arkansas,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Arkansas  State University,State University,Arkansas,50% to 59%,Below Average,Public,National Universities
2,6,4,-,Stanford University,Stanford,California,90% to 99%,Excellent,Private,National Universities
5,20,12,-,University of California--Los Angeles,Los Angeles,California,90% to 99%,Excellent,Public,National Universities
4,22,13,-,University of California--Berkeley,Berkeley,California,90% to 99%,Excellent,Public,National Universities
21,9,15,-,California  Institute  of Technology,Pasadena,California,90% to 99%,Excellent,Private,National Universities
14,27,20,-,University of Southern  California,Los Angeles,California,90% to 99%,Excellent,Public,National Universities
,,28,2,California  Polytechnic State University--Sa,San Luis Obispo,California,90% to 99%,Excellent,Public,Regional Universities
27,34,30,-,University of California--San Diego,San Diego,California,90% to 99%,Excellent,Public,National Universities
43,28,35,-,University of California--Santa Barbara,Santa Barbara,California,90% to 99%,Excellent,Public,National Universities
34,38,36,-,University of California--Davis,Davis,California,90% to 99%,Excellent,Public,National Universities
,,37,5,St. Mary's College of California,Moraga,California,90% to 99%,Excellent,Private,Regional Universities
45,36,40,-,University of California--Irvine,Irvine,California,90% to 99%,Excellent,Public,National Universities
,,43,6,University of Redlands,Redlands,California,80% to 89%,Very Good,Private,Regional Universities
,,46,8,California  Lutheran  University,Thousand  Oaks,California,80% to 89%,Very Good,Private,Regional Universities
,,52,10,Mills College,Oakland,California,80% to 89%,Very Good,Private,Regional Universities
85,55,70,-,Santa Clara University,San Clara,California,80% to 89%,Very Good,Private,National Universities
75,75,75,-,Loyola Marymount University,"Los Angeles,  CA",California,80% to 89%,Very Good,Private,National Universities
80,83,81,-,University of California--Riverside,Riverside,California,80% to 89%,Very Good,Public,National Universities
80,103,91,-,University of California--Santa Cruz,California,California,80% to 89%,Very Good,Public,National Universities
93,93,93,-,University of San Diego,San Diego,California,80% to 89%,Very Good,Private,National Universities
93,93,93,-,University of California--Merced,Merced,California,80% to 89%,Very Good,Public,National Universities
103,103,103,-,University of San Francisco,San Francisco,California,80% to 89%,Very Good,Private,National Universities
122,122,122,-,Chapman  University,Orange,California,80% to 89%,Very Good,Private,National Universities
,,58,12,California  State University--Long Beach,Long Beach,California,70% to 79%,Good,Public,Regional Universities
,,61,12,Point Loma Nazarene  University,San Diego,California,70% to 79%,Good,Private,Regional Universities
,,64,14,California  State Polytechnic University--Po,Pomona,California,70% to 79%,Good,Public,Regional Universities
,,79,19,California  State University--Fullerton,Fullerton,California,70% to 79%,Good,Public,Regional Universities
,,88,22,San Jose State University,San Jose,California,70% to 79%,Good,Public,Regional Universities
,,91,23,California  State University--Los Angeles,Los Angeles,California,70% to 79%,Good,Public,Regional Universities
,,94,23,Dominican University of California,San Rafael,California,70% to 79%,Good,Private,Regional Universities
,,97,25,California  State University--Monterey Bay,Seaside,California,70% to 79%,Good,Public,Regional Universities
,,103,27,Mount Saint Mary's University,Los Angeles,California,70% to 79%,Good,Private,Regional Universities
,,109,29,San Francisco  State University,San Francisco,California,70% to 79%,Good,Public,Regional Universities
,,112,30,California  State University--Stanislaus,Turlock,California,70% to 79%,Good,Public,Regional Universities
,,115,30,Humboldt  State University,Arcata,California,70% to 79%,Good,Public,Regional Universities
96,136,116,-,University of the Pacific,Stockton,California,70% to 79%,Good,Private,National Universities
99,148,123,-,San Diego State University,San Diego,California,70% to 79%,Good,Public,National Universities
,,124,34,California  Baptist University,Riverside,California,70% to 79%,Good,Private,Regional Universities
,,133,37,California  State University--San Bernardin,San Bernardino,California,70% to 79%,Good,Public,Regional Universities
,,136,37,Sonoma  State University,Rohnert  Park,California,70% to 79%,Good,Public,Regional Universities
136,136,136,-,University of La Verne,La Verne,California,70% to 79%,Good,Private,National Universities
,,139,39,California  State University--Chico,Chico,California,70% to 79%,Good,Public,Regional Universities
,,142,39,California  State University--Northridge,Northridge,California,70% to 79%,Good,Public,Regional Universities
,,145,41,California  State University--Channel Island,Camarillo,California,70% to 79%,Good,Public,Regional Universities
,,148,41,California  State University--San Marcos,San Marcos,California,70% to 79%,Good,Public,Regional Universities
,,150,41,Fresno Pacific University,Fresno,California,70% to 79%,Good,Private,Regional Universities
,,160,46,California  State University--Sacramento,Sacramento,California,70% to 79%,Good,Public,Regional Universities
,,168,46,Vanguard  University of Southern Californi,Costa Mesa,California,70% to 79%,Good,Private,Regional Universities
196,196,196,-,Biola University,La Mirada,California,70% to 79%,Good,Private,National Universities
,,175,51,California  State University--Bakersfield,Bakersfield,California,60% to 69%,Average,Public,Regional Universities
,,181,53,The Master's  University and Seminary,Santa Clarita,California,60% to 69%,Average,Private,Regional Universities
,,184,53,Woodbury  University,Burbank,California,60% to 69%,Average,Private,Regional Universities
,,187,55,Concordia  University -- Irvine,Irvine,California,60% to 69%,Average,Private,Regional Universities
,,199,59,California  State University--Dominguez Hi,Carson,California,60% to 69%,Average,Public,Regional Universities
213,213,213,-,California  State University--Fresno,Fresno,California,60% to 69%,Average,Public,National Universities
,,223,67,La Sierra University,Riverside,California,60% to 69%,Average,Private,Regional Universities
,,235,71,California  State University--East Bay,Hayward,California,60% to 69%,Average,Public,Regional Universities
,,253,77,Hope International University,Fullerton,California,60% to 69%,Average,Private,Regional Universities
263,263,263,-,Azusa Pacific University,Azusa,California,60% to 69%,Average,Private,National Universities
,,279,84,Holy Names University,Oakland,California,60% to 69%,Average,Private,Regional Universities
,,286,88,Simpson University,Redding,California,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,Alliant International University,San Diego,California,50% to 59%,Below Average,Private,National Universities
,,,94-122,Academy  of Art University,San Francisco,California,50% to 59%,Below Average,Private,Regional Universities
,,,94-122,National  University,La Jolla,California,50% to 59%,Below Average,Private,Regional Universities
,,,Unranked,United States University,Chula Vista,California,50% to 59%,Below Average,Private,Regional Universities
77,99,88,-,University of Colorado--Boulder,Boulder,Colorado,80% to 89%,Very Good,Public,National Universities
93,93,93,-,University of Denver,Denver,Colorado,80% to 89%,Very Good,Public,National Universities
148,148,148,-,Colorado State University,Fort Collins,Colorado,70% to 79%,Good,Public,National Universities
,,205,61,Colorado Christian University,Lakewood,Colorado,60% to 69%,Average,Private,Regional Universities
,,210,61,Western  Colorado University,Gunnison,Colorado,60% to 69%,Average,Public,Regional Universities
227,227,227,-,University of Colorado Denver,Denver,Colorado,60% to 69%,Average,Public,National Universities
227,227,227,-,Regis University,Denver,Colorado,60% to 69%,Average,Private,National Universities
,,283,87,Colorado State University--Pueblo,Pueblo,Colorado,60% to 69%,Average,Public,Regional Universities
,,292,90,Colorado Mesa University,Grand Junction,Colorado,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,Colorado Technical  University,Colorado Springs,Colorado,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Colorado--Colorado Springs,Colorado Springs,Colorado,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Northern  Colorado,Greeley,Colorado,50% to 59%,Below Average,Public,National Universities
,,,94-122,Adams  State University,Alamosa,Colorado,50% to 59%,Below Average,Public,Regional Universities
,,,94-122,Metropolitan State University of Denver,Denver,Colorado,50% to 59%,Below Average,Public,Regional Universities
,,,94-122,Naropa University,Boulder,Colorado,50% to 59%,Below Average,Private,Regional Universities
6,5,5,-,Yale University,New Haven,Connecticut,90% to 99%,Excellent,Private,National Universities
,,31,3,Fairfield University,Fairfield,Connecticut,90% to 99%,Excellent,Private,Regional Universities
42,63,52,-,University of Connecticut,Stamford,Connecticut,80% to 89%,Very Good,Public,National Universities
148,148,148,-,Quinnipiac University,Hamden,Connecticut,70% to 79%,Good,Private,National Universities
187,187,187,-,University of Saint Joseph,West Hartford,Connecticut,70% to 79%,Good,Public,National Universities
202,202,202,-,Sacred Heart University,Fairfield,Connecticut,60% to 69%,Average,Private,National Universities
213,213,213,-,University of Hartford,West Hartford,Connecticut,60% to 69%,Average,Private,National Universities
